1995M01	21.4
1995M02	21.2
1995M03	20.9
1995M04	20.6
1995M05	20.5
1995M06	20.6
1995M07	20.7
1995M08	20.8
1995M09	20.9
1995M10	20.7
1995M11	20.7
1995M12	20.5
1996M01	20.5
1996M02	20.4
1996M03	20.3
1996M04	20.1
1996M05	20
1996M06	19.8
1996M07	19.9
1996M08	19.7
1996M09	19.6
1996M10	19.4
1996M11	19.3
1996M12	19.1
1997M01	19
1997M02	18.9
1997M03	18.8
1997M04	18.8
1997M05	18.7
1997M06	18.6
1997M07	18.4
1997M08	18.2
1997M09	18.1
1997M10	17.9
1997M11	17.7
1997M12	17.5
1998M01	17.2
1998M02	17
1998M03	17
1998M04	16.9
1998M05	16.8
1998M06	16.6
1998M07	16.4
1998M08	16.3
1998M09	16
1998M10	15.8
1998M11	15.6
1998M12	15.3
1999M01	14.9
1999M02	14.5
1999M03	14.2
1999M04	13.9
1999M05	13.7
1999M06	13.5
1999M07	13.4
1999M08	13.3
1999M09	13.2
1999M10	13
1999M11	13
1999M12	12.9
2000M01	12.7
2000M02	12.6
2000M03	12.4
2000M04	12.2
2000M05	12.1
2000M06	12
2000M07	11.9
2000M08	11.7
2000M09	11.6
2000M10	11.5
2000M11	11.4
2000M12	11.1
2001M01	10.7
2001M02	10.7
2001M03	10.6
2001M04	10.5
2001M05	10.8
2001M06	10.5
2001M07	10.5
2001M08	10.5
2001M09	10.4
2001M10	10.4
2001M11	10.5
2001M12	10.7
2002M01	11
2002M02	11.5
2002M03	11.3
2002M04	11.3
2002M05	11.4
2002M06	11.4
2002M07	11.6
2002M08	11.7
2002M09	11.7
2002M10	11.6
2002M11	11.6
2002M12	11.6
2003M01	11.7
2003M02	11.7
2003M03	11.7
2003M04	11.5
2003M05	11.4
2003M06	11.5
2003M07	11.5
2003M08	11.5
2003M09	11.5
2003M10	11.4
2003M11	11.3
2003M12	11.4
2004M01	11.3
2004M02	11.2
2004M03	11.1
2004M04	11.2
2004M05	11.2
2004M06	11.2
2004M07	11.1
2004M08	11
2004M09	10.9
2004M10	10.7
2004M11	10.6
2004M12	10.3
2005M01	10
2005M02	9.8
2005M03	9.7
2005M04	9.6
2005M05	9.4
2005M06	9.2
2005M07	8.9
2005M08	8.7
2005M09	8.6
2005M10	8.7
2005M11	8.7
2005M12	8.7
2006M01	8.7
2006M02	8.7
2006M03	8.6
2006M04	8.5
2006M05	8.5
2006M06	8.4
2006M07	8.5
2006M08	8.4
2006M09	8.4
2006M10	8.3
2006M11	8.3
2006M12	8.2
2007M01	8.1
2007M02	8
2007M03	8
2007M04	7.9
2007M05	7.9
2007M06	8.1
2007M07	8.2
2007M08	8.4
2007M09	8.4
2007M10	8.5
2007M11	8.6
2007M12	8.8
2008M01	9
2008M02	9.2
2008M03	9.3
2008M04	9.9
2008M05	10.4
2008M06	10.9
2008M07	11.3
2008M08	11.7
2008M09	12.2
2008M10	13.1
2008M11	13.9
2008M12	14.8
2009M01	15.8
2009M02	16.6
2009M03	17.2
2009M04	17.5
2009M05	17.7
2009M06	17.9
2009M07	18.1
2009M08	18.3
2009M09	18.6
2009M10	18.8
2009M11	18.9
2009M12	19
2010M01	19
2010M02	19.2
2010M03	19.4
2010M04	19.7
2010M05	19.9
2010M06	20
2010M07	20
2010M08	20.1
2010M09	20.2
2010M10	20.2
2010M11	20.3
2010M12	20.3
2011M01	20.4
2011M02	20.5
2011M03	20.6
2011M04	20.5
2011M05	20.7
2011M06	21
2011M07	21.4
2011M08	21.7
2011M09	22.1
2011M10	22.4
2011M11	22.7
2011M12	22.9
2012M01	23.2
2012M02	23.6
2012M03	23.9
2012M04	24.2
2012M05	24.6
2012M06	24.8
2012M07	25.1
2012M08	25.3
2012M09	25.5
2012M10	25.7
2012M11	25.9
2012M12	26
2013M01	26.2
2013M02	26.3
2013M03	26.3
2013M04	26.3
2013M05	26.2
2013M06	26.2
2013M07	26.2
2013M08	26.1
2013M09	26
2013M10	26
2013M11	25.8
2013M12	25.6
2014M01	25.4
2014M02	25.3
2014M03	25.2
2014M04	25.1
