"","BE040301","BE040302","BE040303","BE040304","BE040305","BE040306","BE040307","BE040308","BE040309","BE040310","BE040311","BE040312","BE040313"
"MAY 1967",4953788,"_","_",1667508,450579,"_",2625203,0,"_",191506,"_",18992,"_"
"JUN 1967",5053899,"_","_",1700095,452881,"_",2663818,0,"_",217759,"_",19347,"_"
"JUL 1967",5102593,"_","_",1672076,457629,"_",2735627,0,"_",217566,"_",19695,"_"
"AGO 1967",5127445,"_","_",1681409,466494,"_",2739233,0,"_",220289,"_",20020,"_"
"SEP 1967",5195720,"_","_",1723871,470508,"_",2759824,0,"_",221148,"_",20368,"_"
"OCT 1967",5261038,"_","_",1783732,477552,"_",2780288,0,"_",198731,"_",20735,"_"
"NOV 1967",5368571,"_","_",1835689,491207,"_",2823182,0,"_",197240,"_",21252,"_"
"DIC 1967",5496953,"_","_",1874094,519184,"_",2851634,0,"_",230091,"_",21949,"_"
"ENE 1968",5479313,"_","_",1839133,513288,"_",2874437,0,"_",230206,"_",22249,"_"
"FEB 1968",5531992,"_","_",1866119,521901,"_",2892419,0,"_",228793,"_",22760,"_"
"MAR 1968",5604246,"_","_",1919591,529311,"_",2888921,0,"_",243109,"_",23313,"_"
"ABR 1968",5647795,"_","_",1939454,536614,"_",2917800,0,"_",230140,"_",23788,"_"
"MAY 1968",5726215,"_","_",1961691,553334,"_",2959961,0,"_",226744,"_",24485,"_"
"JUN 1968",5843250,"_","_",1994447,566286,"_",2992337,0,"_",265094,"_",25086,"_"
"JUL 1968",5923611,"_","_",1961752,579364,"_",3082729,0,"_",274164,"_",25603,"_"
"AGO 1968",5970917,"_","_",1968182,586522,"_",3122637,0,"_",267390,"_",26186,"_"
"SEP 1968",6052522,"_","_",2009063,601271,"_",3135474,0,"_",279975,"_",26739,"_"
"OCT 1968",6173524,"_","_",2077296,628520,"_",3167761,0,"_",272553,"_",27394,"_"
"NOV 1968",6327443,"_","_",2146202,650445,"_",3244335,0,"_",258273,"_",28187,"_"
"DIC 1968",6684487,"_","_",2212518,659262,"_",3314738,0,"_",416045,"_",81924,"_"
"ENE 1969",6650944,"_","_",2163968,667580,"_",3312640,0,"_",426274,"_",80482,"_"
"FEB 1969",6744335,"_","_",2208732,681277,"_",3349627,0,"_",422758,"_",81942,"_"
"MAR 1969",6828964,"_","_",2225259,694457,"_",3372237,0,"_",454545,"_",82465,"_"
"ABR 1969",6937897,"_","_",2273617,705071,"_",3427680,0,"_",447868,"_",83661,"_"
"MAY 1969",7094365,"_","_",2339247,720511,"_",3505361,0,"_",444545,"_",84701,"_"
"JUN 1969",7227014,"_","_",2404698,728565,"_",3538170,0,"_",469619,"_",85963,"_"
"JUL 1969",7382262,"_","_",2422956,743897,"_",3648624,0,"_",479542,"_",87243,"_"
"AGO 1969",7451991,"_","_",2425841,758513,"_",3676493,0,"_",502386,"_",88757,"_"
"SEP 1969",7578288,"_","_",2480587,775366,"_",3701123,0,"_",530471,"_",90741,"_"
"OCT 1969",7732027,"_","_",2576461,794676,"_",3758057,0,"_",511960,"_",90873,"_"
"NOV 1969",7869112,"_","_",2661462,817382,"_",3793438,0,"_",504177,"_",92652,"_"
"DIC 1969",8079604,"_","_",2753886,843707,"_",3858023,0,"_",530549,"_",93439,"_"
"ENE 1970",8074255,"_","_",2687414,850961,"_",3843124,0,"_",598500,"_",94257,"_"
"FEB 1970",8153294,"_","_",2707151,867639,"_",3893182,0,"_",589815,"_",95507,"_"
"MAR 1970",8210727,"_","_",2725542,874136,"_",3913118,0,"_",601950,"_",95982,"_"
"ABR 1970",8289592,"_","_",2781568,884443,"_",3907276,0,"_",617558,"_",98746,"_"
"MAY 1970",8375476,"_","_",2768851,902299,"_",3975340,0,"_",627336,"_",101649,"_"
"JUN 1970",8513613,"_","_",2814540,922854,"_",4016005,0,"_",655211,"_",105003,"_"
"JUL 1970",8612612,"_","_",2815748,935602,"_",4100585,0,"_",651401,"_",109276,"_"
"AGO 1970",8592171,"_","_",2775828,957136,"_",4106848,0,"_",638527,"_",113832,"_"
"SEP 1970",8647080,"_","_",2783515,971927,"_",4130804,0,"_",644640,"_",116194,"_"
"OCT 1970",8780474,"_","_",2866605,991922,"_",4166871,0,"_",634915,"_",120160,"_"
"NOV 1970",8923744,"_","_",2944226,1009165,"_",4227134,0,"_",619097,"_",124121,"_"
"DIC 1970",9294544,"_","_",3091180,1091720,"_",4333760,0,"_",654334,"_",123550,"_"
"ENE 1971",9234533,"_","_",2989488,1100207,"_",4349507,0,"_",668824,"_",126507,"_"
"FEB 1971",9300344,"_","_",3008600,1114367,"_",4403928,0,"_",638798,"_",134651,"_"
"MAR 1971",9410155,"_","_",3050257,1130900,"_",4443072,0,"_",649959,"_",135967,"_"
"ABR 1971",9528205,"_","_",3167592,1144015,"_",4420745,0,"_",657964,"_",137890,"_"
