"","BE040301","BE040302","BE040303","BE040304","BE040305","BE040306","BE040307","BE040308","BE040309","BE040310","BE040311","BE040312","BE040313"
"OCT 1984",95700522,"_","_",20517892,12193273,"_",49885261,33410,"_",7239822,823970,5280709,240405
"NOV 1984",96601198,"_","_",21124716,12322491,"_",50064837,72500,"_",7150391,853726,5325442,240405
"DIC 1984",98677059,"_","_",21392034,12428053,"_",51315291,79286,"_",7569080,883560,5329445,240405
"ENE 1985",97329018,"_","_",20147500,12451943,"_",51868041,80980,"_",7343004,913172,5331669,726311
"FEB 1985",97420258,"_","_",19984031,12641208,"_",52188177,72470,"_",7074598,943589,5320315,731660
"MAR 1985",98213005,"_","_",19989434,12744636,"_",52603849,68059,"_",7252636,975821,5299316,652687
"ABR 1985",99487697,"_","_",20325322,12845780,"_",53368168,49770,"_",7241198,1010908,5301924,605604
"MAY 1985",100251813,"_","_",20086149,12986531,"_",54364346,71743,"_",7052330,1049638,5318476,605658
"JUN 1985",101915630,"_","_",20299028,13110304,"_",54626976,75217,"_",8013348,1092808,5378812,605646
"JUL 1985",103609054,"_","_",20843268,13322485,"_",55793077,52745,"_",7686722,1141202,5427638,605339
"AGO 1985",102405347,"_","_",19970382,13498942,"_",55942141,72224,"_",6973700,1195383,5425811,601012
"SEP 1985",102803445,"_","_",19392671,13641015,"_",56233595,71839,"_",7467918,1255911,5413346,601012
"OCT 1985",104995721,"_","_",19966343,13835401,"_",57607515,49668,"_",7453361,1323345,5410768,601012
"NOV 1985",106126045,"_","_",20550070,14042924,"_",57954017,54981,"_",7537383,1399577,5243085,601012
"DIC 1985",107814293,"_","_",21244690,14188099,"_",58381306,53779,"_",8022502,1486543,5092165,601012
"ENE 1986",106209507,"_","_",20814011,22301341,20512844,50917583,62607,"_",6741360,1558040,5991472,2114301
"FEB 1986",106291966,"_","_",20738836,22420234,20598074,51525399,42209,"_",6273833,1633395,5808872,2108603
"MAR 1986",107567397,"_","_",20635612,22730158,20958794,51597604,27154,"_",6952478,1712061,6022087,2082603
"ABR 1986",109565859,"_","_",21470160,22779819,21060480,52517694,41211,"_",6984482,1793480,5900388,1880164
"MAY 1986",110432512,"_","_",21221653,23063359,21328802,53051158,44126,"_",7182720,1877664,5783521,1747563
"JUN 1986",112325520,"_","_",21238361,23583348,21654972,53901554,168758,"_",7315537,1964618,5969114,1647014
"JUL 1986",114363342,"_","_",22155824,23953770,21926862,54517105,166504,"_",7496989,2054356,5790770,1605472
"AGO 1986",112990805,"_","_",21474866,24194001,22178784,54111259,59783,"_",6720115,2145132,5801816,1456385
"SEP 1986",113751349,"_","_",20795782,24487481,22422096,54530790,87213,"_",7019377,2235218,5949677,1266976
"OCT 1986",114444130,"_","_",21473033,24502867,22550570,54750262,77458,"_",6701213,2322876,5826728,1132848
"NOV 1986",116066946,"_","_",22671114,24743061,22844296,54591750,74501,"_",6789676,2414085,5786376,929117
"DIC 1986",119030231,"_","_",23081912,25174462,23257156,55797777,90302,"_",7376017,2514833,5669353,584124
"ENE 1987",117742039,"_","_",21725632,25235152,23322148,55735314,48177,"_",7605904,2614433,5592417,766813
"FEB 1987",118567049,"_","_",21778154,25605423,23660062,55995096,54428,"_",7695569,2761068,5498552,766813
"MAR 1987",120383007,"_","_",21946390,26130979,24154802,56853834,43483,"_",7575728,2953379,5688309,765611
"ABR 1987",122635642,"_","_",22997770,26523139,24558040,57599594,49782,"_",7509196,3190022,5580031,764109
"MAY 1987",123930565,"_","_",23020519,27172039,25119932,58429333,57649,"_",7268087,3435397,5369298,764109
"JUN 1987",126119048,"_","_",22991417,27569050,25568480,58867591,55497,"_",8238770,3653937,5556886,758604
"JUL 1987",128481813,"_","_",23992493,28111956,26097040,59422500,26198,"_",8441678,3810056,5459306,756175
"AGO 1987",127738589,"_","_",23241072,28490041,26457124,59487595,28981,"_",7800187,3990161,5485708,756175
"SEP 1987",129986681,"_","_",22987463,28956547,26866942,60462611,61075,"_",8378067,4280655,5677515,756175
"OCT 1987",133321818,"_","_",23640006,29533771,27335358,61637458,49097,"_",8967798,4767955,5489687,714856
"NOV 1987",135607653,"_","_",24428822,30095278,27843712,62228096,80259,"_",8788438,5307844,5474030,714856
"DIC 1987",139317280,"_","_",25396223,30714952,28341982,63538627,152675,"_",8971668,5756127,5649532,709849
"ENE 1988",138159052,"_","_",24201039,30604390,28286864,63216251,133641,"_",9235549,5968591,5906266,973033
"FEB 1988",138585530,"_","_",23989092,31183855,28861526,64039517,80938,"_",8303812,6058629,5983659,973033
"MAR 1988",141176060,"_","_",24598416,31846321,29508552,64951035,157465,"_",8281700,6139651,6330767,971831
"ABR 1988",142558827,"_","_",24963236,32544535,30137240,65345936,141490,"_",8165831,6325039,6177064,962815
"MAY 1988",144278773,"_","_",25139068,33300158,30888236,66446017,108266,"_",7658427,6570367,6127553,962815
"JUN 1988",147071785,"_","_",25181079,33719237,31283666,67479157,187095,"_",8975034,6831188,5843394,957304
"JUL 1988",151751914,"_","_",26712115,34513733,32045810,69084382,186013,"_",9574646,7063064,5758015,954041
"AGO 1988",150011522,"_","_",25199452,35312160,32766140,69051777,147350,"_",8442381,7291960,5667833,954041
"SEP 1988",152950224,"_","_",25191645,36183663,33538416,70359844,191555,"_",8681590,7543784,5943739,954041
"OCT 1988",156068468,"_","_",25530195,37131898,34346508,71782927,156311,"_",8900677,7844500,5809774,931503
"NOV 1988",159223919,"_","_",26751800,38166913,35261620,72470641,167670,"_",8908213,8156696,5693646,923990
"DIC 1988",163871649,"_","_",27917517,39567921,36357820,73708600,162147,"_",9485414,8442946,5668235,918984
"ENE 1989",163616284,"_","_",26545208,40485996,37194360,73582772,129224,"_",9704248,8665849,5632475,1000264
"FEB 1989",165396433,"_","_",26864321,41515254,38193916,74157717,120239,"_",9397479,8876690,5585235,1000264
"MAR 1989",168074796,"_","_",27056249,42488358,39143436,74695948,133587,"_",9886529,9126765,5820009,999062
"ABR 1989",171295800,"_","_",28585067,43599011,40180724,75596438,120160,"_",9430529,9467365,5614949,997560
"MAY 1989",174099275,"_","_",27812478,44676896,41236896,77252768,128298,"_",9897606,9837655,5619433,997560
"JUN 1989",180189384,"_","_",28560389,45767583,42385852,80129289,300861,"_",10796377,10176788,5751007,992049
"JUL 1989",186539781,"_","_",30096114,46545286,43197956,82866263,339464,"_",11622889,10423918,5765942,780631
"AGO 1989",184117576,"_","_",28793967,47099317,43704332,82268893,227393,"_",9902438,10624680,5822125,393843
"SEP 1989",186900550,"_","_",29013529,47595729,44277152,82771669,539613,"_",10621398,10824703,6095158,21636
"OCT 1989",188561321,"_","_",28660626,48484867,45094800,83636862,329481,"_",10665549,11069615,6065438,21636
"NOV 1989",191936142,"_","_",29971320,49325514,45949780,84486249,513367,"_",10817629,11319943,6037125,21636
"DIC 1989",196021635,"_","_",31071610,50333032,46850684,85602857,479728,"_",11344344,11536379,6154448,21035
"ENE 1990",195475382,"_","_",29596006,51029149,47617016,85193405,333970,"_",11818338,11679011,6159473,0
"FEB 1990",196465828,"_","_",29668578,51775096,48318400,85414428,354826,"_",11501238,11800416,6306072,0
"MAR 1990",197785565,"_","_",30112467,52709982,49296664,85922794,473940,"_",10391583,11948415,6700323,0
"ABR 1990",201385820,"_","_",30679967,53534883,50061488,86842084,435079,"_",11423954,12182155,6722777,0
"MAY 1990",202791527,"_","_",30843292,54515422,51005132,87070355,458212,"_",11030537,12431172,6900749,0
"JUN 1990",205944497,"_","_",31698779,55499098,52065672,86532407,203226,"_",12489801,12654971,7069441,0
"JUL 1990",209991466,"_","_",32303974,56627998,53168820,88682203,282740,"_",12351857,12784128,7241306,0
"AGO 1990",208616361,"_","_",31737977,57376233,53855416,88183603,180742,"_",10989386,12845408,7483755,0
"SEP 1990",210598975,"_","_",31534480,57965280,54502036,88821235,200209,"_",11432452,12870536,7974992,0
"OCT 1990",213088192,"_","_",31226960,58963705,55423720,89917553,244804,"_",12056465,12887641,8035868,0
"NOV 1990",215025254,"_","_",32294989,59777030,56174860,90360403,219760,"_",11544511,12997674,8050648,0
"DIC 1990",217974547,"_","_",32889330,60347409,57696148,90880825,209164,"_",12254096,13135835,8467053,0
"ENE 1991",219546861,"_","_",32177227,60790944,58141056,92068750,214543,"_",12419013,13265022,8825905,0
"FEB 1991",220764524,"_","_",31650547,61589948,58919808,93291293,338250,"_",11775396,13318122,9139218,0
"MAR 1991",224417986,"_","_",32174841,62384101,59728076,94119030,358149,"_",12809894,13372135,9557986,0
"ABR 1991",225028199,"_","_",31900911,63116999,60379268,94371954,285571,"_",12273521,13552505,9812310,0
"MAY 1991",226858503,"_","_",31608795,63845918,61106540,95495673,462256,"_",12187852,13735056,9985209,0
"JUN 1991",231078197,"_","_",32613483,64630774,61894444,95603230,286382,"_",14104480,13917132,10209098,0
"JUL 1991",234070072,"_","_",32890069,65455309,62706380,97874364,210450,"_",13520302,13889852,10440175,0
"AGO 1991",232965777,"_","_",32240561,66022188,63232868,97976145,306252,"_",12130023,13845209,10751650,0
"SEP 1991",235896601,"_","_",31091209,66784507,63888716,99962899,560468,"_",13168410,13797675,11091901,0
"OCT 1991",238065806,"_","_",31968772,67681260,64805164,100918197,257522,"_",12586624,13641148,11269807,0
"NOV 1991",240302688,"_","_",32856484,68842151,65865464,101132367,310243,"_",12563822,13485558,11422307,0
"DIC 1991",244517471,"_","_",33810543,69777410,66723500,102349885,368703,"_",13717098,13358143,11504393,0
"ENE 1992",242114577,50804665,9729328,30503877,70077062,65496128,102122630,381715,"_",14081263,13249690,12080055,0
"FEB 1992",241717922,52700636,9963663,30157508,71017778,66418892,101865614,181740,"_",13217116,13108825,12351081,0
"MAR 1992",242787524,53193965,10367333,30032761,71891103,67409800,101788468,276412,"_",13330184,13022231,12722777,0
"ABR 1992",245498714,52887172,10850312,30784952,72958440,68419088,102333448,412210,"_",13402732,12896824,13122318,0
"MAY 1992",246516648,53016870,11006629,30521606,73769037,69728816,102202889,534282,"_",13679156,12858137,13485822,0
"JUN 1992",248814137,54257612,11354297,30017123,74420624,70511168,102945098,852133,"_",14916508,12704939,13809846,0
"JUL 1992",253065347,58882827,12357073,31405232,75734815,71804200,104495817,435481,"_",14481687,12742941,14204855,0
"AGO 1992",250527678,59374052,12844795,30192192,76283192,72330048,103748663,249312,"_",13236288,12479542,14587802,0
"SEP 1992",253993227,61244552,13730722,29124938,76679222,72848944,106588114,523854,"_",14192811,12233956,15174185,0
"OCT 1992",258154406,63263375,13769820,29885874,77736354,73800792,108872795,944382,"_",13792561,12059332,15807490,0
"NOV 1992",260451715,63720728,13907551,30328994,78252798,74585936,110082741,1317136,"_",13710378,11870049,16206754,0
"DIC 1992",261364483,63411008,13517327,31272577,79018289,75246016,109475947,798781,"_",12901392,11553857,17142422,0
"ENE 1993",260240608,63589413,13308011,29676168,79316300,75575064,108637511,953975,"_",13627132,11361142,17622354,0
"FEB 1993",259682942,63337125,13440850,29983316,80036325,76245896,107916363,1032773,"_",12531427,11114631,18100880,0
"MAR 1993",259069273,64175063,13156924,28783166,80720019,76958440,107365849,1010764,"_",13059867,10921394,18218979,0
"ABR 1993",259629241,63070901,13425329,29006142,81606788,77670144,106845672,1268659,"_",12866810,10707589,18596240,0
"MAY 1993",260602009,65213443,14403846,28393861,82653203,78664944,106955945,1491213,"_",13085698,10668920,18844380,0
"JUN 1993",260646996,66608693,13933943,27770858,83475370,79500120,105478634,1117450,"_",14366083,10494693,19061357,0
"JUL 1993",265548928,67000313,15137424,29276081,84744913,80768144,107703875,893266,"_",14102058,10339139,19382863,0
"AGO 1993",260955327,67165915,14118001,27696681,85116717,81184000,105647855,679631,"_",12550335,10109601,19834139,0
"SEP 1993",262023176,68194584,13577807,26723619,85757775,81722592,105449299,1566544,"_",12902288,9868673,21321524,0
"OCT 1993",262279002,68009658,13433911,27557511,86659965,82615392,103333640,709753,"_",13231227,9886493,21610166,0
"NOV 1993",262582297,68672166,13698594,27658259,87854357,83683488,103313014,1089665,"_",12462473,9556615,21737580,0
"DIC 1993",264500980,68903405,13402780,28795307,88148841,84819696,103241378,2621813,"_",11329277,9361611,23624566,0
"ENE 1994",261956943,74611542,12817804,27120743,88812112,85395168,100806822,1473574,"_",12224232,9194307,23798727,0
"FEB 1994",260581396,75436839,12579278,26763947,89731096,86204264,100198039,762342,"_",10995558,9039048,23853708,0
"MAR 1994",264082868,77529618,12269999,27345317,90846634,87274552,102015356,2712097,"_",11371924,8903345,23600291,0
"ABR 1994",262889576,78943715,12070611,27636862,91766579,88176888,100450374,1667700,"_",10626249,8764487,23645024,0
"MAY 1994",262493906,83169101,12398780,26930781,93073973,89407784,100514130,949437,"_",10391980,8690395,22892647,0
"JUN 1994",265397131,84483454,11721178,26933594,94442501,90834264,101017351,1498281,"_",11800476,8639711,22563497,0
"JUL 1994",269813651,85581563,11505307,28914410,96207169,92237456,101470460,1960315,"_",11882899,8668169,22670543,0
"AGO 1994",264036386,85052576,11546759,27100255,96551056,92900864,99606854,878752,"_",9486099,8560402,22731720,0
"SEP 1994",267130040,86607034,11347770,26752383,97533626,93841216,102147543,2183297,"_",10133280,8449617,22113591,0
"OCT 1994",268204687,87378902,11102330,27353672,98525651,94821592,101684932,1118754,"_",10177022,8466319,21997091,0
"NOV 1994",269099088,88702740,11392219,28229135,99675201,96016008,101357211,889474,"_",9866846,8423094,21547600,0
"DIC 1994",273021949,89661258,11555810,29403688,100948752,97161224,105361587,2018493,"_",10076347,8088433,19143143,0
"ENE 1995",271039018,89830136,11513528,28534883,101475239,97784216,103930884,432068,"_",9933600,8083847,19080566,0
"FEB 1995",271953451,90187480,11430710,28478994,102430114,98703984,104577200,1000204,"_",9427470,8048970,18990702,0
"MAR 1995",274381685,91449215,11528043,29019082,103621807,99842472,105674756,1723078,"_",9477011,8093758,18495270,0
"ABR 1995",276955352,92495642,11067481,30566466,104225518,100429930,106106674,1436154,"_",9576467,8104203,18376023,0
"MAY 1995",276359194,92775384,10819397,29371347,105528849,101658040,105700955,1661342,"_",9457929,8176241,18123874,0
"JUN 1995",280410094,94489687,10614920,29457214,106629290,102691180,107701285,2309966,"_",10506936,8245664,17869707,0
"JUL 1995",284591023,96190287,10542432,30626146,107872808,103942560,108801402,1482108,"_",11244786,8349062,17696819,0
"AGO 1995",280100574,96302159,10382016,29729064,108405311,104484380,106799352,1029540,"_",9200041,8298841,17667965,0
"SEP 1995",282856118,97122967,10480960,29960327,109063100,105183780,107703815,1602767,"_",10290157,8282031,17556687,0
"OCT 1995",283674131,97512176,10386539,29241823,110058256,106137110,108559723,1323759,"_",10121206,8313488,17379635,0
"NOV 1995",286355714,98541482,10390378,30075109,111139236,107171260,109326584,1783954,"_",10386367,8383259,17045160,0
"DIC 1995",289827888,101055329,10138744,31272349,112467113,108146180,110192216,1641490,"_",10684234,8617744,16594233,0
"ENE 1996",288267168,100619764,10085236,29738980,113182750,108785780,109396854,1809978,"_",10839710,8633737,16475136,0
"FEB 1996",287775829,101254799,10017645,29352025,114184036,109738280,109427368,1714988,"_",9901218,8638912,16272270,0
"MAR 1996",290075330,103369502,10165741,29622035,115008198,110726150,110627114,2304924,"_",10083198,8712464,16022322,0
"ABR 1996",291648991,102686188,10319313,29229202,116069801,111802090,111296341,2235729,"_",10453061,8776418,15824168,0
"MAY 1996",292758363,104209970,10086532,28843383,117389257,113204360,112604065,2037413,"_",9510542,8851412,15559705,0
"JUN 1996",298505614,107368871,9959257,30371931,118778497,114549400,114171018,2059007,"_",11137938,8933985,15112245,0
"JUL 1996",298954041,108474126,10256947,30205937,120638366,116322180,113651575,1120815,"_",10471380,9092448,14894336,0
"AGO 1996",297293408,109044931,10043152,29696399,121444136,117095840,112967714,1501863,"_",9191879,9157159,14836122,0
"SEP 1996",300651786,109456114,10190707,28547660,122539914,118118460,115078456,2851268,"_",10688375,9161390,14635991,0
"OCT 1996",303490312,110211544,10164845,29790962,124602340,119924790,115607377,2889258,"_",9848906,9122949,14517778,0
"NOV 1996",305792489,111966007,10141707,30352211,126148931,121386220,115089341,3036241,"_",10709062,9163536,14329409,0
"DIC 1996",311374426,115508865,10386817,30815321,127586720,123646100,119361444,2303139,"_",10643870,9553009,13414061,0
"ENE 1997",316031263,117824481,10784840,30095897,128761813,124792910,123674194,3919855,"_",10615334,9581232,13302792,0
"FEB 1997",316429153,117981729,10959549,29320267,130431893,126362730,123671297,3547757,"_",10246728,9622324,13136644,0
"MAR 1997",319989819,119971482,10991862,29180875,131903135,127846810,125392426,4130852,"_",10937879,9720499,12855006,0
"ABR 1997",322489238,121126549,11003424,30358041,133976176,129846870,125361787,3018998,"_",10265972,9838827,12688434,0
"MAY 1997",325235988,123477443,10984893,30376258,136175994,131960520,125882440,3325106,"_",10308908,9984639,12507749,0
"JUN 1997",329647741,128126771,11087562,29791689,138613459,134202090,127335426,3399421,"_",11670657,10173705,12062806,0
"JUL 1997",338509924,131427981,11953142,31292068,141232592,136919710,132783299,4767439,"_",11014220,10410557,11777188,0
"AGO 1997",338298885,133126243,12031486,31850396,142077266,137883740,132197226,4457593,"_",10051904,10433426,11688667,0
"SEP 1997",340248230,134417890,11363408,29495540,143709837,139457500,133716521,4638593,"_",11453806,10460490,11412036,0
"OCT 1997",344566651,137406519,11399592,30963543,145978508,141624510,134963116,3528043,"_",10887491,10603801,11170194,0
"NOV 1997",351418724,136221515,11482592,32852596,148378210,143967260,137222433,3852728,"_",11413045,10679114,10873326,0
"DIC 1997",354345553,143333369,12012267,32807923,151130786,146563060,137984278,3648414,"_",11241480,10882232,10298853,0
"ENE 1998",363562565,150853287,12316647,31846075,152657327,147935420,144132429,8568996,"_",13710312,10964775,10251647,0
"FEB 1998",366253380,153301281,12201569,31251482,155037263,150191120,145342225,8923996,"_",13327510,11133497,10161404,0
"MAR 1998",366109035,154931737,12189583,30895869,157811877,152836990,142884377,6561640,"_",13419627,11317605,9779681,0
"ABR 1998",369603896,158198448,11860329,32388614,160369076,155278740,142486828,3377874,"_",13084665,11616680,9658034,0
"MAY 1998",374099450,160716929,11118359,33462036,162674257,157557200,143224823,3784874,"_",13345441,11873694,9519199,0
"JUN 1998",383613807,165012369,11316066,31942766,165771417,160451680,147778400,3660717,"_",16890982,12066598,9163644,0
"JUL 1998",389988052,167997475,11096515,33988063,169739215,164104420,150436060,3343767,"_",14561404,12206424,9056886,0
"AGO 1998",386607448,168504501,10915982,33167265,171018551,165256080,148214835,3019299,"_",13026340,12182019,8998437,0
"SEP 1998",394997074,172954269,10420282,32558713,173383716,167515300,153466440,6464511,"_",14235597,12555768,8796840,0
"OCT 1998",400027725,176987577,10364637,33684127,174726455,168907340,155796867,5372568,"_",14425116,12691080,8704079,0
"NOV 1998",410294819,180381847,10308869,34190870,177656238,171783390,159846327,8271808,"_",17254272,12894203,8452909,0
"DIC 1998",413854202,183537538,9731426,36444078,180286109,174036930,160774681,7612798,"_",15058378,13018898,8272058,0
"ENE 1999",417854085,171446071,6271174,35470004,181709040,176449680,164196873,11077517,"_",15151858,13127811,8198501,0
"FEB 1999",420993635,174559400,6968198,35771781,184509801,179195410,164490555,10723618,"_",14845618,13278513,8097367,0
"MAR 1999",422285718,177481560,7136208,34846609,187187237,181829170,164192312,8708148,"_",14475706,13631456,7952398,0
"ABR 1999",427530340,180129959,8250557,35291142,190024224,184520110,166053804,5211967,"_",14351176,13945811,7864184,0
"MAY 1999",433865989,184881292,8306724,35098398,192752860,187150320,169934427,5585840,"_",14040784,14275358,7764163,0
"JUN 1999",450809872,189140854,10422584,35512873,196600041,190835680,178630083,6579581,"_",17633579,14687831,7745465,0
"JUL 1999",453950287,196626430,9216019,38155218,200104049,194095630,177096593,6002253,"_",15823944,15088472,7682012,0
"AGO 1999",451429923,196722582,9552517,36440018,201113632,195252140,177508712,6974656,"_",13643677,15040997,7682888,0
"SEP 1999",460354662,202510194,9267066,35511911,204183403,198206740,183569033,8968114,"_",14424300,15077875,7588140,0
"OCT 1999",468602136,206390842,9829904,37172312,207871653,201745360,184906764,7474094,"_",15748248,15328293,7574867,0
"NOV 1999",470814195,206498216,8836474,36822392,210723079,204597180,182310913,6994784,"_",17881267,15637850,7438695,0
"DIC 1999",476965534,210016728,8862118,39520733,216031683,209661870,183870433,6197905,"_",14688111,15725348,7129226,0
"ENE 2000",483742320,215867769,9029405,37968109,218450089,212031820,187852929,5953154,"_",16564057,15767353,7139784,0
"FEB 2000",484074885,216495795,9004491,38306031,221399408,214788940,185155430,3356856,"_",16139395,16015363,7059259,0
"MAR 2000",493604254,218734722,9296835,38882055,226293612,219417120,190020924,5009486,"_",15197500,16300778,6909385,0
"ABR 2000",507690060,234362264,10349285,41765394,230054221,222950690,195574850,5812748,"_",16888505,16534836,6872254,0
"MAY 2000",507468572,235346316,10718726,39582748,232923663,225540160,194679536,4642106,"_",16722427,16776426,6783772,0
"JUN 2000",519659183,238338347,10097884,40294063,237396246,229807760,196667890,5967132,"_",21554034,17094171,6652779,0
"JUL 2000",526426877,240477768,10055226,41739547,242029243,234033060,199396893,3987985,"_",19115279,17327248,6818667,0
"AGO 2000",520676040,242497177,10848356,40683374,244197246,236004210,195927399,2282487,"_",15635474,17329349,6903199,0
"SEP 2000",534331743,249455906,11103892,42103628,248109294,239928300,202412502,4346088,"_",17259419,17499526,6947374,0
"OCT 2000",539504130,272017726,12338968,40756581,252082421,243729020,204475938,3872243,"_",17621753,17561116,7006321,0
"NOV 2000",549581583,276190121,11606475,42078733,256441122,247875580,206224821,3960036,"_",20115336,17776309,6945261,0
"DIC 2000",559407114,279328967,11024013,45643105,259565460,250821280,211230050,6895251,"_",17982116,18063533,6922850,0
"ENE 2001",557142414,281364536,10015771,42921032,262468532,253844860,209004411,4909713,"_",17644890,18115177,6988371,0
"FEB 2001",557514864,312576019,10099801,41967266,265366084,257041200,207378167,2872401,"_",17530542,18245898,7026907,0
"MAR 2001",564120156,318240328,9986142,42300580,270085419,261638560,209156031,3724102,"_",16967408,18598158,7012560,0
"ABR 2001",572885824,325088200,10008231,43103678,274116232,265606270,211868487,3012272,"_",18000937,18749189,7047301,0
"MAY 2001",575722162,328778316,10871298,42397239,279019663,270420640,210866972,2530817,"_",17132309,19234784,7071195,0
"JUN 2001",592071428,334522900,10952663,45188630,283945033,275947300,215434289,4295939,"_",21022783,19476106,7004587,0
"JUL 2001",593670499,339252503,11269512,44720619,286575499,278295140,217000757,2707976,"_",18413543,19838769,7121313,0
"AGO 2001",588921245,339180910,10786745,43911987,288485034,280396900,213211440,1966351,"_",16361960,19704382,7246442,0
"SEP 2001",603048553,344228979,11188573,45128163,292221874,284198720,221329576,3954585,"_",17373043,19762802,7233095,0
"OCT 2001",605819588,349237469,11740570,43782263,295980944,287872420,220853294,1955470,"_",18121389,19679576,7402123,0
"NOV 2001",616249300,350298775,11468157,45362112,301279228,292883740,221034993,1861087,"_",21157931,20003909,7411127,0
"DIC 2001",624853802,359141480,12858973,48707806,305775488,297052480,223387670,2493869,"_",19134750,20209171,7638917,0
"ENE 2002",623251708,359234586,12831902,45525801,309291014,300877380,221152421,2607739,"_",19551381,19920605,7810486,0
"FEB 2002",627273615,364036233,12405830,45030912,314245288,305655840,221662971,2565658,"_",18452050,20057468,7824928,0
"MAR 2002",640193129,371749134,12509965,47194844,318426415,309795780,226723233,4025596,"_",19591360,20366260,7891017,0
"ABR 2002",646725050,376564459,11966376,45318360,324336787,315472220,229449032,4906572,"_",19128146,20491692,8001034,0
"MAY 2002",653006571,382047599,11427670,45256379,330061515,321013790,229347278,4870097,"_",19457809,20656145,8227445,0
"JUN 2002",664445844,355252356,10753044,47163928,335015278,325968510,229595430,3888700,"_",23309262,21076612,8285334,0
"JUL 2002",672675517,363206035,11262462,47126092,342687931,333453440,233138371,3644842,"_",19892077,21502868,8328178,0
"AGO 2002",673127973,398983936,10938875,46573375,345762779,336462080,232671534,4009407,"_",18463553,21205494,8451238,0
"SEP 2002",680806302,406093166,11388230,44617573,349939874,340604540,236800611,4890053,"_",19598250,21347882,8502112,0
"OCT 2002",691163736,412310531,11316421,45923359,355406558,345915420,239428411,5505207,"_",20378675,21553846,8472888,0
"NOV 2002",697013242,414977378,10891039,47048186,358389945,348929570,238273312,4198298,"_",23094728,21826596,8380476,0
"DIC 2002",701663076,422774850,9841673,50434416,363961988,354365280,238193471,4481320,"_",19372037,22032949,7668215,0
"ENE 2003",709461799,427771704,9902281,49413448,370288278,360483940,239669386,5202312,"_",20513764,21817989,7758935,0
"FEB 2003",715136694,434362973,9788147,48954352,377126455,367110300,239742202,5841263,"_",19475768,22079080,7758838,0
"MAR 2003",722204051,428440630,9282508,47980971,383363635,373537760,240447679,4823407,"_",19847266,22806653,7757847,0
"ABR 2003",735716083,447840798,9180158,49537668,389649774,379638460,245788373,7375045,"_",20255820,22812638,7671810,0
"MAY 2003",745730767,455039323,8525716,50011317,397588062,387490530,246703776,7625246,"_",20327677,23406318,7693618,0
"JUN 2003",754871974,463623469,8878059,49543574,404556968,394303300,243881026,3735823,"_",25172527,24034270,7683609,0
"JUL 2003",766644142,473053774,8895795,52215089,414180336,403800990,245958579,4912360,"_",21037174,25556513,7696451,0
"AGO 2003",769669179,475846081,9270320,52566311,418007914,407596770,246390084,6001036,"_",19463044,25510935,7730892,0
"SEP 2003",770522726,479480441,9057197,49898836,420572202,409967140,246123641,3581278,"_",21805569,24391288,7731190,0
"OCT 2003",785338499,484830379,8940950,51421206,427862150,416835810,252531881,7663266,"_",20893363,24939984,7689915,0
"NOV 2003",800910303,491301094,8593016,54673582,434474605,423522940,253618146,7683967,"_",25278647,25263255,7602068,0
"DIC 2003",802212448,493667897,7911500,55530734,442125069,430884640,250898579,5301287,"_",20922985,25069152,7665929,0
"ENE 2004",808396440,499564914,7591828,54045598,448195081,436939550,251307501,5182632,"_",22200676,24914595,7732990,0
"FEB 2004",821488995,508334123,7678811,54650592,456600931,445190590,256706831,9143132,"_",20511624,25258623,7760396,0
"MAR 2004",832734224,521690684,7929033,53601023,466085146,454468700,258479707,6214841,"_",20741249,26125000,7702099,0
"ABR 2004",846977033,531065521,7951406,54717795,475356472,463385920,262012032,8377273,"_",21006767,26371619,7512348,0
"MAY 2004",860654856,538997595,7899014,54682177,484451085,472795010,265431595,10051832,"_",21950272,26656904,7482824,0
"JUN 2004",878476629,545115642,7911134,54779672,491233645,479387070,270593396,10658718,"_",26934262,27527246,7408408,0
"JUL 2004",891767958,554815757,7946430,58699222,500287956,488140190,274488114,9302385,"_",22941287,28034385,7316995,0
"AGO 2004",888859457,558724933,8228359,55137924,505389925,493282140,272388811,7650971,"_",20625231,27953546,7364021,0
"SEP 2004",903589613,569747728,7541251,54536239,516296515,503671650,274996746,8734542,"_",22208587,28118238,7433288,0
"OCT 2004",918971282,580812252,7078026,56917202,524349622,511484190,277626599,7741906,"_",24226766,28365971,7485123,0
"NOV 2004",930628608,590126277,7285289,56134087,533591612,520553090,276768689,5885951,"_",28114943,28534816,7484461,0
"DIC 2004",945697311,602618020,7179262,60248740,544917622,531642340,280810646,8857735,"_",22954839,29281733,7483731,0
"ENE 2005",956283715,612510709,7627686,58305644,554204471,541073660,282498728,6135782,"_",24482649,29062763,7729460,0
"FEB 2005",968623970,623460002,6888758,61515303,564001770,550754110,282314206,4375643,"_",23538860,29515982,7737850,0
"MAR 2005",989195920,630938685,7402167,63541730,574268374,560825470,289241111,9656354,"_",23653555,30634830,7856320,0
"ABR 2005",1007426019,641689644,7874248,69036779,586178078,572120450,289075234,5073706,"_",23709159,31573792,7852978,0
"MAY 2005",1018658884,647922892,8127186,66709276,597905666,583279040,290434521,3783649,"_",23953166,31597709,8058547,0
"JUN 2005",1085319561,698469457,8178102,67118048,643604687,628448380,303007018,6360161,25262,29947694,32450504,9191610,0
