"MAY 1970",234166,10728,"_",10728,"_","_",223438
"JUN 1970",235356,10692,"_",10692,"_","_",224664
"JUL 1970",238542,10722,"_",10722,"_","_",227820
"AGO 1970",240994,10554,"_",10554,"_","_",230440
"SEP 1970",242851,10355,"_",10355,"_","_",232496
"OCT 1970",244017,10265,"_",10265,"_","_",233752
"NOV 1970",247647,10355,"_",10355,"_","_",237292
"DIC 1970",250977,10488,"_",10488,"_","_",240489
"ENE 1971",253230,10235,"_",10235,"_","_",242995
"FEB 1971",260190,10229,"_",10229,"_","_",249961
"MAR 1971",262576,10259,"_",10259,"_","_",252317
"ABR 1971",265996,10181,"_",10181,"_","_",255815
"MAY 1971",269326,10229,"_",10229,"_","_",259096
"JUN 1971",273779,10331,"_",10331,"_","_",263448
"JUL 1971",275462,10476,"_",10476,"_","_",264986
"AGO 1971",278785,10884,"_",10884,"_","_",267901
"SEP 1971",280036,10836,"_",10836,"_","_",269199
"OCT 1971",283558,10229,"_",10229,"_","_",273328
"NOV 1971",286785,10301,"_",10301,"_","_",276484
"DIC 1971",299340,10037,"_",10037,"_","_",289303
"ENE 1972",302321,10055,"_",10055,"_","_",292266
"FEB 1972",309593,10139,"_",10139,"_","_",299454
"MAR 1972",313145,10025,"_",10025,"_","_",303121
"ABR 1972",315111,10193,"_",10193,"_","_",304918
"MAY 1972",318038,10157,"_",10157,"_","_",307881
"JUN 1972",320021,10121,"_",10121,"_","_",309900
"JUL 1972",322527,10235,"_",10235,"_","_",312292
"AGO 1972",327437,10211,"_",10211,"_","_",317226
"SEP 1972",333820,10235,"_",10235,"_","_",323585
"OCT 1972",337516,10638,"_",10638,"_","_",326878
"NOV 1972",343683,11041,"_",11041,"_","_",332642
"DIC 1972",350240,11173,"_",11173,"_","_",339067
"ENE 1973",346399,11167,"_",11167,"_","_",335233
"FEB 1973",351352,11131,"_",11131,"_","_",340221
"MAR 1973",359730,10926,"_",10926,"_","_",348803
"ABR 1973",362008,10830,"_",10830,"_","_",351177
"MAY 1973",367952,10908,"_",10908,"_","_",357043
"JUN 1973",372838,10608,"_",10608,"_","_",362230
"JUL 1973",375098,10692,"_",10692,"_","_",364406
"AGO 1973",378884,10860,"_",10860,"_","_",368024
"SEP 1973",388470,10956,"_",10956,"_","_",377514
"OCT 1973",391692,10884,"_",10884,"_","_",380807
"NOV 1973",399144,10776,"_",10776,"_","_",388368
"DIC 1973",408069,14971,"_",14971,"_","_",393098
"ENE 1974",414813,14707,"_",14707,"_","_",400106
"FEB 1974",420823,14707,"_",14707,"_","_",406116
"MAR 1974",466866,55023,40340,14683,"_","_",411844
"ABR 1974",500264,83625,69705,13919,"_","_",416640
"MAY 1974",525273,102545,88517,14028,"_","_",422728
"JUN 1974",487138,57751,43555,14196,"_","_",429387
"JUL 1974",489627,53178,39228,13949,"_","_",436449
"AGO 1974",472894,27532,13114,14418,"_","_",445362
